challenge_id	master_id	public_id	pool	tier	tier_basis	total_length	in_draw	ms1190_status	ms1190_seq
ac-v1-00022	INTL-b2-84-0	ACP-036406	interleaved	T1_easy	10k_final	23	true		
ac-v1-00023	INTLB-b3t-493-1	ACP-046306	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00024	INTLB-b4-63-1	ACP-044001	interleaved_b	T2_medium	100k	27	true		
ac-v1-00025	MS-n10-wyXyxY	ACP-008346	ms_expanded	T4_frontier	100k	29	true		
ac-v1-00026	MS-n5-wXXXYxyxyxY	ACP-001962	ms_expanded	T4_frontier	100k	24	true		
ac-v1-00027	INTLB-b4-44-0	ACP-043561	interleaved_b	T2_medium	100k	33	true		
ac-v1-00028	MS-n3-wXYxYYY	ACP-037148	ms_expanded	T1_easy	10k_final	16	true	uncertified	486
ac-v1-00029	INTLB-b4-1646-1	ACP-039186	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00030	INTLB-b4-2044-0	ACP-042443	interleaved_b	T2_medium	100k	21	true		
ac-v1-00031	INTLB-b4-2924-0	ACP-037471	interleaved_b	T2_medium	100k	33	true		
ac-v1-00032	INTLB-b3t-822-1	ACP-045926	interleaved_b	T1_easy	10k_final	25	true		
ac-v1-00033	INTL-b4-138-0	ACP-000228	interleaved	T1_easy	10k_final	31	true		
ac-v1-00034	INTLB-b3t-186-1	ACP-045587	interleaved_b	T1_easy	10k_final	25	true		
ac-v1-00035	AUTH-19_34-k1-0	ACP-026711	aut_hard	T5_moonshot	100k	19	true		
ac-v1-00036	MS-n5-wXXXYYxYxxy	ACP-018119	ms_expanded	T4_frontier	100k	24	true		
ac-v1-00037	INTLB-b4-1030-0	ACP-041193	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00038	MS-n6-wyyXyyxyyyy	ACP-022706	ms_expanded	T2_medium	100k	26	true		
ac-v1-00039	AUTH-21_21-k1-3	ACP-023403	aut_hard	T5_moonshot	100k	21	true		
ac-v1-00040	MS-n7-wXyxxyXy	ACP-021851	ms_expanded	T5_moonshot	100k	25	false	open	770
ac-v1-00041	INTLB-b4-1975-0	ACP-043932	interleaved_b	T1_easy	10k_final	19	true		
ac-v1-00042	MS-n3-wXYYYYYxyyy	ACP-016145	ms_expanded	T1_easy	10k_final	20	true		
ac-v1-00043	INTLB-b4-1700-0	ACP-043604	interleaved_b	T2_medium	100k	21	true		
ac-v1-00044	MS-n5-wXXyyxyxY	ACP-025981	ms_expanded	T4_frontier	100k	22	true		
ac-v1-00045	MS-n3-wXyxxyXY	ACP-005936	ms_expanded	T5_moonshot	100k	17	false	open	990
ac-v1-00046	MS-n5-wYYXYxYYYY	ACP-022187	ms_expanded	T2_medium	100k	23	true		
ac-v1-00047	INTLB-b3t-652-1	ACP-044592	interleaved_b	T1_easy	10k_final	34	true		
ac-v1-00048	INTLB-b3t-323-1	ACP-045377	interleaved_b	T1_easy	10k_final	34	true		
ac-v1-00049	MS-n3-wXYXyxxyyyy	ACP-023393	ms_expanded	T1_easy	10k_final	20	true		
ac-v1-00050	INTLB-b4-1977-1	ACP-042783	interleaved_b	T1_easy	10k_final	26	true		
ac-v1-00051	MS-n6-wXXYYxYYxy	ACP-017665	ms_expanded	T4_frontier	100k	25	true		
ac-v1-00052	INTLB-b4-1470-0	ACP-041465	interleaved_b	T1_easy	10k_final	28	true		
ac-v1-00053	MS-n3-wXXyyxxYY	ACP-020731	ms_expanded	T4_frontier	100k	18	true		
ac-v1-00054	MS-n7-wXXYxxy	ACP-029964	ms_expanded	T5_moonshot	100k	24	true	open	364
ac-v1-00055	INTLB-b4-3968-0	ACP-040262	interleaved_b	T3_hard_solvable	100k	28	true		
ac-v1-00056	MS-n3-wXXyxxy	ACP-015405	ms_expanded	T4_frontier	100k	16	true	open	367
ac-v1-00057	INTLB-b3t-485-1	ACP-043894	interleaved_b	T1_easy	10k_final	30	true		
ac-v1-00058	INTL-b3-118-0	ACP-020588	interleaved	T1_easy	10k_final	28	true		
ac-v1-00059	INTLB-b3t-306-0	ACP-046831	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00060	MS-n10-wXXYxyxy	ACP-000638	ms_expanded	T4_frontier	100k	31	true		
ac-v1-00061	INTLB-b4-1693-0	ACP-041977	interleaved_b	T1_easy	10k_final	30	true		
ac-v1-00062	INTLB-b3t-419-0	ACP-044850	interleaved_b	T3_hard_solvable	100k	32	true		
ac-v1-00063	AUTH-23_11-k1-0	ACP-017548	aut_hard	T5_moonshot	100k	35	true		
ac-v1-00064	INTLB-b4-1860-1	ACP-042902	interleaved_b	T1_easy	10k_final	26	true		
ac-v1-00065	INTLB-b4-1669-1	ACP-045912	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00066	AUTH-16_4-k1-1	ACP-013229	aut_hard	T5_moonshot	100k	16	true		
ac-v1-00067	AUTH-19_4-k1-3	ACP-015247	aut_hard	T5_moonshot	100k	27	true		
ac-v1-00068	INTLB-b4-255-0	ACP-041176	interleaved_b	T2_medium	100k	29	true		
ac-v1-00069	INTLB-b4-2619-1	ACP-045241	interleaved_b	T3_hard_solvable	100k	34	true		
ac-v1-00070	INTL-b2-100-1	ACP-012827	interleaved	T1_easy	10k_final	29	true		
ac-v1-00071	MS-n7-wYYxyyyyXyy	ACP-024595	ms_expanded	T1_easy	10k_final	28	true		
ac-v1-00072	MS-n9-wXXYxyxy	ACP-028606	ms_expanded	T4_frontier	100k	29	true		
ac-v1-00073	INTLB-b3t-489-1	ACP-046826	interleaved_b	T1_easy	10k_final	25	true		
ac-v1-00074	INTLB-b4-2962-1	ACP-041527	interleaved_b	T3_hard_solvable	100k	35	true		
ac-v1-00075	INTLB-b4-1239-1	ACP-040282	interleaved_b	T1_easy	10k_final	35	true		
ac-v1-00076	INTLB-b3t-585-1	ACP-041197	interleaved_b	T1_easy	10k_final	24	true		
ac-v1-00077	INTLB-b4-2024-1	ACP-046219	interleaved_b	T2_medium	100k	33	true		
ac-v1-00078	MS-n5-wYxyyXyyyyy	ACP-016314	ms_expanded	T2_medium	100k	24	true		
ac-v1-00079	INTLB-b4-3072-0	ACP-037282	interleaved_b	T3_hard_solvable	100k	32	true		
ac-v1-00080	AUTH-22_14-k12-0	ACP-017493	aut_hard	T5_moonshot	100k	24	true		
ac-v1-00081	INTLB-b4-652-0	ACP-047208	interleaved_b	T2_medium	100k	33	true		
ac-v1-00082	MS-n10-wXyyyyyxYY	ACP-003986	ms_expanded	T1_easy	10k_final	33	true		
ac-v1-00083	MS-n3-wYYXYxYY	ACP-022476	ms_expanded	T1_easy	10k_final	17	true	uncertified	962
ac-v1-00084	AUTH-16_2-k0-0	ACP-001743	aut_hard	T5_moonshot	100k	16	true		
ac-v1-00085	MS-n6-wXyxyy	ACP-015549	ms_expanded	T4_frontier	100k	21	true	open	174
ac-v1-00086	INTL-b4-101-1	ACP-007447	interleaved	T1_easy	10k_final	19	true		
ac-v1-00087	INTLB-b3t-641-0	ACP-043355	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00088	INTLB-b4-2092-0	ACP-038381	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00089	MS-n8-wXXXYxxyyxY	ACP-016378	ms_expanded	T4_frontier	100k	30	true		
ac-v1-00090	INTLB-b4-3568-0	ACP-041051	interleaved_b	T2_medium	100k	25	true		
ac-v1-00091	INTLB-b4-2846-0	ACP-040429	interleaved_b	T2_medium	100k	28	true		
ac-v1-00092	INTLB-b3t-888-1	ACP-043044	interleaved_b	T1_easy	10k_final	35	true		
ac-v1-00093	INTLB-b4-2778-1	ACP-045517	interleaved_b	T2_medium	100k	31	true		
ac-v1-00094	MS-n6-wXYYYxYYYYY	ACP-020362	ms_expanded	T1_easy	10k_final	26	true		
ac-v1-00095	AUTH-17_35-k0-0	ACP-007448	aut_hard	T5_moonshot	100k	17	true		
ac-v1-00096	MS-n7-wYYXyxYYYY	ACP-003430	ms_expanded	T1_easy	10k_final	27	true		
ac-v1-00097	INTLB-b3t-543-0	ACP-039910	interleaved_b	T1_easy	10k_final	27	true		
ac-v1-00098	INTLB-b4-1975-1	ACP-041838	interleaved_b	T1_easy	10k_final	25	true		
ac-v1-00099	MS-n7-wyXyxy	ACP-007753	ms_expanded	T5_moonshot	100k	23	true	open	112
ac-v1-00100	INTLB-b3t-811-1	ACP-044138	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00101	MS-n3-wyxyyXyy	ACP-014304	ms_expanded	T1_easy	10k_final	17	true	uncertified	542
ac-v1-00102	INTLB-b3t-835-1	ACP-042684	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00103	INTLB-b4-1723-1	ACP-045088	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00104	MS-n2-wXYxY	ACP-005966	ms_expanded	T0_warmup	10k_final	12	true	uncertified	58
ac-v1-00105	AUTH-19_4-k1-1	ACP-024865	aut_hard	T5_moonshot	100k	19	true		
ac-v1-00106	MS-n10-wXyxY	ACP-029325	ms_expanded	T4_frontier	100k	28	true		
ac-v1-00107	MS-n3-wXXYYxyyxy	ACP-026933	ms_expanded	T4_frontier	100k	19	true		
ac-v1-00108	MS-n8-wXYYYYxYYYY	ACP-030974	ms_expanded	T1_easy	10k_final	30	true		
ac-v1-00109	MS-n5-wXXXXYxxxxY	ACP-029869	ms_expanded	T4_frontier	100k	24	true		
ac-v1-00110	INTLB-b4-203-1	ACP-046206	interleaved_b	T1_easy	10k_final	28	true		
ac-v1-00111	INTLB-b4-1612-1	ACP-045726	interleaved_b	T3_hard_solvable	100k	30	true		
ac-v1-00112	INTLB-b3t-572-0	ACP-039795	interleaved_b	T1_easy	10k_final	19	true		
ac-v1-00113	INTLB-b3t-56-1	ACP-039106	interleaved_b	T2_medium	100k	34	true		
ac-v1-00114	MS-n7-wYYXYxyy	ACP-019462	ms_expanded	T4_frontier	100k	25	true	open	987
ac-v1-00115	INTLB-b4-2545-0	ACP-038808	interleaved_b	T3_hard_solvable	100k	29	true		
ac-v1-00116	MS-n2-wXXXYYxxxyy	ACP-025805	ms_expanded	T4_frontier	100k	18	true		
ac-v1-00117	INTLB-b4-1426-0	ACP-039354	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00118	MS-n6-wXXyxYxYY	ACP-009943	ms_expanded	T4_frontier	100k	24	true		
ac-v1-00119	INTLB-b4-3296-0	ACP-044145	interleaved_b	T3_hard_solvable	100k	24	true		
ac-v1-00120	INTLB-b4-1974-0	ACP-038900	interleaved_b	T1_easy	10k_final	25	true		
ac-v1-00121	INTLB-b3t-579-1	ACP-039843	interleaved_b	T1_easy	10k_final	26	true		
ac-v1-00122	INTLB-b4-1562-1	ACP-045995	interleaved_b	T1_easy	10k_final	32	true		
ac-v1-00123	INTLB-b4-1282-1	ACP-040235	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00124	INTLB-b4-3943-1	ACP-043500	interleaved_b	T3_hard_solvable	100k	33	true		
ac-v1-00125	INTLB-b4-2683-1	ACP-045463	interleaved_b	T2_medium	100k	29	true		
ac-v1-00126	INTL-b2-166-0	ACP-030971	interleaved	T1_easy	10k_final	34	true		
ac-v1-00127	INTLB-b4-2191-0	ACP-044085	interleaved_b	T2_medium	100k	33	true		
ac-v1-00128	INTLB-b4-1607-0	ACP-046028	interleaved_b	T2_medium	100k	34	true		
ac-v1-00129	MS-n6-wyyXyyyyyxy	ACP-013111	ms_expanded	T2_medium	100k	26	true		
ac-v1-00130	INTLB-b4-313-0	ACP-038847	interleaved_b	T2_medium	100k	30	true		
ac-v1-00131	INTLB-b4-1323-0	ACP-039636	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00132	MS-n4-wYXYxyyy	ACP-028900	ms_expanded	T4_frontier	100k	19	true	open	1173
ac-v1-00133	INTLB-b4-2972-1	ACP-044671	interleaved_b	T3_hard_solvable	100k	29	true		
ac-v1-00134	MS-n4-wXXYXyxxxy	ACP-020410	ms_expanded	T4_frontier	100k	21	true		
ac-v1-00135	INTLB-b3t-677-0	ACP-041042	interleaved_b	T1_easy	10k_final	16	true		
ac-v1-00136	INTLB-b3t-324-0	ACP-042826	interleaved_b	T1_easy	10k_final	28	true		
ac-v1-00137	AUTH-AK(3)-k1-0	ACP-024512	aut_hard	T5_moonshot	10k_final	16	true		
ac-v1-00138	MS-n10-wyXyxy	ACP-018311	ms_expanded	T4_frontier	100k	29	true		
ac-v1-00139	MS-n5-wYXYxYYYY	ACP-036316	ms_expanded	T2_medium	100k	22	true		
ac-v1-00140	MS-n9-wXXXYxxYxy	ACP-036711	ms_expanded	T4_frontier	100k	31	true		
ac-v1-00141	MS-n3-wXXYYxxYYY	ACP-002244	ms_expanded	T4_frontier	100k	19	true		
ac-v1-00142	INTLB-b3t-410-1	ACP-045567	interleaved_b	T1_easy	10k_final	24	true		
ac-v1-00143	INTLB-b3t-647-0	ACP-044296	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00144	INTLB-b4-469-0	ACP-044907	interleaved_b	T2_medium	100k	28	true		
ac-v1-00145	MS-n1-wXyyyxxyXy	ACP-007648	ms_expanded	T1_easy	10k_final	15	true		
ac-v1-00146	MS-n6-wXYYYYxy	ACP-012820	ms_expanded	T4_frontier	100k	23	true	open	888
ac-v1-00147	MS-n2-wXyyxxyXy	ACP-007877	ms_expanded	T1_easy	10k_final	16	true		
ac-v1-00148	INTLB-b4-1471-1	ACP-046935	interleaved_b	T2_medium	100k	33	true		
ac-v1-00149	INTLB-b4-10-0	ACP-042999	interleaved_b	T2_medium	100k	33	true		
ac-v1-00150	INTLB-b4-1171-0	ACP-045574	interleaved_b	T1_easy	10k_final	28	true		
ac-v1-00151	INTLB-b4-2049-1	ACP-045652	interleaved_b	T3_hard_solvable	100k	32	true		
ac-v1-00152	INTLB-b4-1895-1	ACP-043414	interleaved_b	T2_medium	100k	25	true		
ac-v1-00153	INTLB-b4-1762-0	ACP-044237	interleaved_b	T3_hard_solvable	100k	31	true		
ac-v1-00154	INTL-b2-31-0	ACP-004481	interleaved	T1_easy	10k_final	19	true		
ac-v1-00155	INTLB-b4-1755-1	ACP-044492	interleaved_b	T3_hard_solvable	100k	22	true		
ac-v1-00156	INTLB-b4-197-0	ACP-037780	interleaved_b	T2_medium	100k	27	true		
ac-v1-00157	INTLB-b4-312-0	ACP-039559	interleaved_b	T2_medium	100k	22	true		
ac-v1-00158	INTLB-b4-1093-1	ACP-041081	interleaved_b	T2_medium	100k	34	true		
ac-v1-00159	INTLB-b3t-82-1	ACP-046927	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00160	INTLB-b4-246-1	ACP-041672	interleaved_b	T3_hard_solvable	100k	33	true		
ac-v1-00161	INTLB-b4-2374-0	ACP-042056	interleaved_b	T2_medium	100k	35	true		
ac-v1-00162	INTLB-b3t-645-0	ACP-037299	interleaved_b	T1_easy	10k_final	19	true		
ac-v1-00163	INTLB-b4-1194-0	ACP-046928	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00164	MS-n3-wXyXyxxy	ACP-033329	ms_expanded	T5_moonshot	100k	17	false	open	997
ac-v1-00165	INTLB-b4-2030-0	ACP-037555	interleaved_b	T3_hard_solvable	100k	29	true		
ac-v1-00166	INTLB-b3t-4-0	ACP-044430	interleaved_b	T1_easy	10k_final	32	true		
ac-v1-00167	INTLB-b4-307-1	ACP-041618	interleaved_b	T2_medium	100k	27	true		
ac-v1-00168	INTL-b4-204-0	ACP-013988	interleaved	T3_hard_solvable	100k	21	true		
ac-v1-00169	INTLB-b3t-912-0	ACP-037854	interleaved_b	T1_easy	10k_final	34	true		
ac-v1-00170	INTLB-b4-1812-1	ACP-045326	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00171	INTL-b3-14-1	ACP-008942	interleaved	T1_easy	10k_final	17	true		
ac-v1-00172	INTLB-b4-1099-1	ACP-037690	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00173	INTLB-b4-1403-0	ACP-044391	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00174	MS-n3-wyyXyyxy	ACP-009197	ms_expanded	T1_easy	10k_final	17	true	uncertified	675
ac-v1-00175	INTLB-b4-127-0	ACP-044883	interleaved_b	T3_hard_solvable	100k	21	true		
ac-v1-00176	INTLB-b4-1151-0	ACP-042158	interleaved_b	T2_medium	100k	35	true		
ac-v1-00177	INTLB-b4-1567-0	ACP-038523	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00178	MS-n8-wXXYxYxy	ACP-030640	ms_expanded	T4_frontier	100k	27	true		
ac-v1-00179	MS-n6-wXXXYxxYxY	ACP-033563	ms_expanded	T4_frontier	100k	25	true		
ac-v1-00180	INTLB-b4-202-1	ACP-042775	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00181	INTL-b4-123-1	ACP-026884	interleaved	T1_easy	10k_final	19	true		
ac-v1-00182	INTLB-b4-1490-1	ACP-042303	interleaved_b	T1_easy	10k_final	35	true		
ac-v1-00183	MS-n3-wXYYxY	ACP-018988	ms_expanded	T1_easy	10k_final	15	true	uncertified	164
ac-v1-00184	INTLB-b4-2166-1	ACP-039067	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00185	AUTH-19_7-k1-0	ACP-003653	aut_hard	T5_moonshot	100k	25	true		
ac-v1-00186	INTLB-b4-3977-1	ACP-042961	interleaved_b	T2_medium	100k	29	true		
ac-v1-00187	INTLB-b4-2520-0	ACP-040354	interleaved_b	T2_medium	100k	35	true		
ac-v1-00188	INTLB-b4-539-0	ACP-040421	interleaved_b	T2_medium	100k	28	true		
ac-v1-00189	MS-n4-wXXXYxYYxxy	ACP-031072	ms_expanded	T4_frontier	100k	22	true		
ac-v1-00190	INTLB-b4-196-0	ACP-047111	interleaved_b	T1_easy	10k_final	25	true		
ac-v1-00191	MS-n7-wXXYxYxYY	ACP-008461	ms_expanded	T4_frontier	100k	26	true		
ac-v1-00192	INTLB-b4-3287-0	ACP-041985	interleaved_b	T3_hard_solvable	100k	25	true		
ac-v1-00193	INTLB-b4-682-0	ACP-044780	interleaved_b	T2_medium	100k	26	true		
ac-v1-00194	INTLB-b4-3997-0	ACP-038673	interleaved_b	T3_hard_solvable	100k	27	true		
ac-v1-00195	INTLB-b3t-136-1	ACP-039461	interleaved_b	T1_easy	10k_final	19	true		
ac-v1-00196	INTLB-b3t-802-1	ACP-046184	interleaved_b	T1_easy	10k_final	27	true		
ac-v1-00197	INTL-b3-175-1	ACP-011504	interleaved	T1_easy	10k_final	29	true		
ac-v1-00198	INTLB-b4-580-1	ACP-043049	interleaved_b	T3_hard_solvable	100k	34	true		
ac-v1-00199	INTLB-b4-1775-1	ACP-046471	interleaved_b	T3_hard_solvable	100k	32	true		
ac-v1-00200	INTLB-b4-2293-0	ACP-041636	interleaved_b	T2_medium	100k	24	true		
ac-v1-00201	MS-n6-wYYYxyXyy	ACP-028132	ms_expanded	T1_easy	10k_final	24	true		
ac-v1-00202	MS-n7-wXXXYxyxxYY	ACP-025653	ms_expanded	T4_frontier	100k	28	true		
ac-v1-00203	INTLB-b4-2416-0	ACP-044701	interleaved_b	T2_medium	100k	29	true		
ac-v1-00204	MS-n7-wYXyyyxyyyy	ACP-032091	ms_expanded	T1_easy	10k_final	28	true		
ac-v1-00205	MS-n7-wXXXyxxxyy	ACP-014836	ms_expanded	T4_frontier	100k	27	true		
ac-v1-00206	MS-n4-wXXXYxYxxyy	ACP-034799	ms_expanded	T4_frontier	100k	22	true		
ac-v1-00207	MS-n8-wYXYYYxyyy	ACP-023068	ms_expanded	T1_easy	10k_final	29	true		
ac-v1-00208	AUTH-20_3-k12-0	ACP-003384	aut_hard	T5_moonshot	100k	29	true		
ac-v1-00209	INTLB-b4-2106-0	ACP-040001	interleaved_b	T3_hard_solvable	100k	33	true		
ac-v1-00210	INTLB-b4-1022-1	ACP-046128	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00211	INTLB-b4-1754-0	ACP-040913	interleaved_b	T1_easy	10k_final	35	true		
ac-v1-00212	INTL-b2-124-1	ACP-023505	interleaved	T1_easy	10k_final	33	true		
ac-v1-00213	INTL-b3-124-0	ACP-031340	interleaved	T1_easy	10k_final	27	true		
ac-v1-00214	AUTH-22_1-k1-0	ACP-030606	aut_hard	T5_moonshot	100k	33	true		
ac-v1-00215	INTLB-b4-309-0	ACP-039177	interleaved_b	T3_hard_solvable	100k	19	true		
ac-v1-00216	INTLB-b4-133-1	ACP-041358	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00217	MS-n2-wXXyxyyxyyy	ACP-007897	ms_expanded	T1_easy	10k_final	18	true		
ac-v1-00218	INTLB-b4-553-0	ACP-039108	interleaved_b	T2_medium	100k	24	true		
ac-v1-00219	INTLB-b3t-802-0	ACP-040359	interleaved_b	T1_easy	10k_final	24	true		
ac-v1-00220	INTLB-b4-1569-1	ACP-043021	interleaved_b	T1_easy	10k_final	26	true		
ac-v1-00221	INTLB-b3t-799-0	ACP-046627	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00222	INTLB-b4-1007-0	ACP-045958	interleaved_b	T2_medium	100k	31	true		
ac-v1-00223	INTLB-b3t-861-1	ACP-046295	interleaved_b	T1_easy	10k_final	27	true		
ac-v1-00224	INTLB-b4-1599-0	ACP-045247	interleaved_b	T3_hard_solvable	100k	23	true		
ac-v1-00225	INTLB-b4-176-1	ACP-038639	interleaved_b	T2_medium	100k	34	true		
ac-v1-00226	INTLB-b4-1288-0	ACP-045784	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00227	INTLB-b3t-63-1	ACP-040492	interleaved_b	T1_easy	10k_final	31	true		
ac-v1-00228	INTLB-b4-304-0	ACP-042354	interleaved_b	T3_hard_solvable	100k	31	true		
ac-v1-00229	MS-n6-wXXyxxYYY	ACP-027672	ms_expanded	T4_frontier	100k	24	true		
ac-v1-00230	MS-n8-wyXyxY	ACP-035056	ms_expanded	T2_medium	100k	25	true		
ac-v1-00231	MS-n6-wyyyxYXyyyy	ACP-007964	ms_expanded	T2_medium	100k	26	true		
ac-v1-00232	INTLB-b4-2081-0	ACP-037260	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00233	INTLB-b3t-771-1	ACP-041409	interleaved_b	T1_easy	10k_final	34	true		
ac-v1-00234	INTLB-b3t-883-1	ACP-044576	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00235	INTLB-b4-1365-0	ACP-046634	interleaved_b	T1_easy	10k_final	25	true		
ac-v1-00236	MS-n9-wYYY	ACP-006471	ms_expanded	T0_warmup	10k_final	25	true		
ac-v1-00237	MS-n3-wXXXYYYxxxy	ACP-012076	ms_expanded	T4_frontier	100k	20	true		
ac-v1-00238	AUTH-17_4-k1-2	ACP-032830	aut_hard	T5_moonshot	100k	17	true		
ac-v1-00239	INTLB-b4-1391-0	ACP-043006	interleaved_b	T1_easy	10k_final	33	true		
ac-v1-00240	INTLB-b4-1332-0	ACP-046409	interleaved_b	T3_hard_solvable	100k	33	true		
ac-v1-00241	INTLB-b4-102-0	ACP-041088	interleaved_b	T1_easy	10k_final	28	true		
ac-v1-00242	INTLB-b4-1275-0	ACP-040731	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00243	INTLB-b3t-484-1	ACP-042281	interleaved_b	T1_easy	10k_final	36	true		
ac-v1-00244	INTL-b4-44-0	ACP-000358	interleaved	T3_hard_solvable	100k	35	true		
ac-v1-00245	INTLB-b4-2304-1	ACP-042172	interleaved_b	T2_medium	100k	35	true		
ac-v1-00246	INTLB-b4-1393-1	ACP-040707	interleaved_b	T3_hard_solvable	100k	31	true		
ac-v1-00247	MS-n5-wXXXyyxxxy	ACP-001382	ms_expanded	T4_frontier	100k	23	true		
ac-v1-00248	MS-n4-wXXYXYxxxY	ACP-035433	ms_expanded	T4_frontier	100k	21	true		
ac-v1-00249	INTLB-b4-1479-1	ACP-037469	interleaved_b	T2_medium	100k	35	true		
ac-v1-00250	INTLB-b4-1264-0	ACP-046864	interleaved_b	T1_easy	10k_final	35	true		
ac-v1-00251	MS-n6-wYXYYYxY	ACP-026582	ms_expanded	T1_easy	10k_final	23	true	uncertified	825
ac-v1-00252	INTLB-b4-2087-0	ACP-046435	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00253	INTLB-b4-1129-1	ACP-046143	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00254	MS-n2-wXXXYxxxY	ACP-017071	ms_expanded	T4_frontier	100k	16	true		
ac-v1-00255	MS-n6-wXXYxYYxY	ACP-018032	ms_expanded	T4_frontier	100k	24	true		
ac-v1-00256	MS-n2-wXXXYxxYxY	ACP-037084	ms_expanded	T4_frontier	100k	17	true		
ac-v1-00257	INTLB-b4-1809-1	ACP-038853	interleaved_b	T3_hard_solvable	100k	27	true		
ac-v1-00258	MS-n7-wYxYYYXy	ACP-004206	ms_expanded	T4_frontier	100k	25	true	open	1127
ac-v1-00259	INTLB-b4-1259-0	ACP-046465	interleaved_b	T1_easy	10k_final	28	true		
ac-v1-00260	AUTH-25_30-k1-1	ACP-022049	aut_hard	T5_moonshot	100k	25	true		
ac-v1-00261	INTLB-b4-1699-1	ACP-043975	interleaved_b	T1_easy	10k_final	27	true		
ac-v1-00262	MS-n7-wYYxyyXyyy	ACP-004411	ms_expanded	T1_easy	10k_final	27	true		
ac-v1-00263	MS-n8-wXyXYxxY	ACP-023781	ms_expanded	T4_frontier	100k	27	true		
ac-v1-00264	INTLB-b4-1382-0	ACP-045839	interleaved_b	T1_easy	10k_final	22	true		
