seq,n,w,w_vector,status_at_freeze,reported_class,scored,challenge_id,training_id,prototype_path_length
67,4,yxyx^{-1},2 1 2 -1,open,15_1,true,ms-v1-0007,,
68,5,yxyx^{-1},2 1 2 -1,open,16_1,true,ms-v1-0008,,
69,6,yxyx^{-1},2 1 2 -1,open,20_8,true,ms-v1-0009,,
70,7,yxyx^{-1},2 1 2 -1,open,22_{13},true,ms-v1-0010,,
71,1,y^{4},2 2 2 2,certified,,false,,ms-train-0056,18
72,2,y^{4},2 2 2 2,certified,,false,,ms-train-0057,24
73,3,y^{4},2 2 2 2,certified,,false,,ms-train-0058,10
74,4,y^{4},2 2 2 2,certified,,false,,ms-train-0059,28
75,5,y^{4},2 2 2 2,certified,,false,,ms-train-0060,19
76,6,y^{4},2 2 2 2,certified,,false,,ms-train-0061,29
77,7,y^{4},2 2 2 2,certified,,false,,ms-train-0062,14
78,1,yxy^{-1}x^{-1},2 1 -2 -1,certified,,false,,ms-train-0063,8
79,2,yxy^{-1}x^{-1},2 1 -2 -1,certified,,false,,ms-train-0064,27
80,3,yxy^{-1}x^{-1},2 1 -2 -1,certified,,false,,ms-train-0065,64
81,4,yxy^{-1}x^{-1},2 1 -2 -1,certified,,false,,ms-train-0066,155
82,5,yxy^{-1}x^{-1},2 1 -2 -1,uncertified,,false,,,
83,6,yxy^{-1}x^{-1},2 1 -2 -1,uncertified,,false,,,
84,7,yxy^{-1}x^{-1},2 1 -2 -1,uncertified,,false,,,
85,1,x^{-1}y^{-1}xy^{2},-1 -2 1 2 2,certified,,false,,ms-train-0067,9
86,2,x^{-1}y^{-1}xy^{2},-1 -2 1 2 2,certified,,false,,ms-train-0068,27
87,3,x^{-1}y^{-1}xy^{2},-1 -2 1 2 2,certified,,false,,ms-train-0069,45
88,4,x^{-1}y^{-1}xy^{2},-1 -2 1 2 2,open,14_1,true,ms-v1-0011,,
89,5,x^{-1}y^{-1}xy^{2},-1 -2 1 2 2,uncertified,,false,,,
90,6,x^{-1}y^{-1}xy^{2},-1 -2 1 2 2,open,19_{34},true,ms-v1-0012,,
91,7,x^{-1}y^{-1}xy^{2},-1 -2 1 2 2,open,19_{38},true,ms-v1-0013,,
92,1,yx^{-1}y^{-1}xy,2 -1 -2 1 2,certified,,false,,ms-train-0070,9
93,2,yx^{-1}y^{-1}xy,2 -1 -2 1 2,certified,,false,,ms-train-0071,33
94,3,yx^{-1}y^{-1}xy,2 -1 -2 1 2,certified,,false,,ms-train-0072,86
95,4,yx^{-1}y^{-1}xy,2 -1 -2 1 2,uncertified,,false,,,
96,5,yx^{-1}y^{-1}xy,2 -1 -2 1 2,uncertified,,false,,,
97,6,yx^{-1}y^{-1}xy,2 -1 -2 1 2,uncertified,,false,,,
98,7,yx^{-1}y^{-1}xy,2 -1 -2 1 2,uncertified,,false,,,
99,1,yxyx^{-1}y^{-1},2 1 2 -1 -2,certified,,false,,ms-train-0073,11
100,2,yxyx^{-1}y^{-1},2 1 2 -1 -2,certified,,false,,ms-train-0074,73
101,3,yxyx^{-1}y^{-1},2 1 2 -1 -2,open,13_1,true,ms-v1-0014,,
102,4,yxyx^{-1}y^{-1},2 1 2 -1 -2,open,15_1,true,ms-v1-0015,,
103,5,yxyx^{-1}y^{-1},2 1 2 -1 -2,open,16_1,true,ms-v1-0016,,
104,6,yxyx^{-1}y^{-1},2 1 2 -1 -2,open,17_1,true,ms-v1-0017,,
105,7,yxyx^{-1}y^{-1},2 1 2 -1 -2,open,21_1,true,ms-v1-0018,,
106,1,yxyx^{-1}y,2 1 2 -1 2,certified,,false,,ms-train-0075,16
107,2,yxyx^{-1}y,2 1 2 -1 2,uncertified,,false,,,
108,3,yxyx^{-1}y,2 1 2 -1 2,open,13_1,true,ms-v1-0019,,
109,4,yxyx^{-1}y,2 1 2 -1 2,open,15_1,true,ms-v1-0020,,
110,5,yxyx^{-1}y,2 1 2 -1 2,open,16_1,true,ms-v1-0021,,
111,6,yxyx^{-1}y,2 1 2 -1 2,open,20_8,true,ms-v1-0022,,
112,7,yxyx^{-1}y,2 1 2 -1 2,open,23_{21},true,ms-v1-0023,,
113,1,x^{-1}y^{-1}xy^{-2},-1 -2 1 -2 -2,certified,,false,,ms-train-0076,14
114,2,x^{-1}y^{-1}xy^{-2},-1 -2 1 -2 -2,certified,,false,,ms-train-0077,61
115,3,x^{-1}y^{-1}xy^{-2},-1 -2 1 -2 -2,uncertified,,false,,,
116,4,x^{-1}y^{-1}xy^{-2},-1 -2 1 -2 -2,open,15_{11},true,ms-v1-0024,,
117,5,x^{-1}y^{-1}xy^{-2},-1 -2 1 -2 -2,open,14_1,true,ms-v1-0025,,
118,6,x^{-1}y^{-1}xy^{-2},-1 -2 1 -2 -2,open,17_{36},true,ms-v1-0026,,
119,7,x^{-1}y^{-1}xy^{-2},-1 -2 1 -2 -2,open,21_{37},true,ms-v1-0027,,
120,1,yxy^{-1}x^{-1}y,2 1 -2 -1 2,certified,,false,,ms-train-0078,10
121,2,yxy^{-1}x^{-1}y,2 1 -2 -1 2,certified,,false,,ms-train-0079,64
122,3,yxy^{-1}x^{-1}y,2 1 -2 -1 2,uncertified,,false,,,
123,4,yxy^{-1}x^{-1}y,2 1 -2 -1 2,uncertified,,false,,,
124,5,yxy^{-1}x^{-1}y,2 1 -2 -1 2,uncertified,,false,,,
125,6,yxy^{-1}x^{-1}y,2 1 -2 -1 2,uncertified,,false,,,
126,7,yxy^{-1}x^{-1}y,2 1 -2 -1 2,uncertified,,false,,,
127,1,y^{-1}xy^{-1}x^{-1}y^{-1},-2 1 -2 -1 -2,certified,,false,,ms-train-0080,23
128,2,y^{-1}xy^{-1}x^{-1}y^{-1},-2 1 -2 -1 -2,uncertified,,false,,,
129,3,y^{-1}xy^{-1}x^{-1}y^{-1},-2 1 -2 -1 -2,open,13_1,true,ms-v1-0028,,
130,4,y^{-1}xy^{-1}x^{-1}y^{-1},-2 1 -2 -1 -2,open,15_1,true,ms-v1-0029,,
131,5,y^{-1}xy^{-1}x^{-1}y^{-1},-2 1 -2 -1 -2,open,16_1,true,ms-v1-0030,,
132,6,y^{-1}xy^{-1}x^{-1}y^{-1},-2 1 -2 -1 -2,open,17_1,true,ms-v1-0031,,
133,7,y^{-1}xy^{-1}x^{-1}y^{-1},-2 1 -2 -1 -2,open,23_{24},true,ms-v1-0032,,
134,1,yxy^{-2}x^{-1},2 1 -2 -2 -1,certified,,false,,ms-train-0081,6
135,2,yxy^{-2}x^{-1},2 1 -2 -2 -1,certified,,false,,ms-train-0082,26
136,3,yxy^{-2}x^{-1},2 1 -2 -2 -1,certified,,false,,ms-train-0083,34
137,4,yxy^{-2}x^{-1},2 1 -2 -2 -1,open,14_1,true,ms-v1-0033,,
138,5,yxy^{-2}x^{-1},2 1 -2 -2 -1,uncertified,,false,,,
139,6,yxy^{-2}x^{-1},2 1 -2 -2 -1,open,19_{33},true,ms-v1-0034,,
140,7,yxy^{-2}x^{-1},2 1 -2 -2 -1,open,19_{37},true,ms-v1-0035,,
141,1,y^{-1}xyx^{-1}y^{-1},-2 1 2 -1 -2,certified,,false,,ms-train-0084,18
142,2,y^{-1}xyx^{-1}y^{-1},-2 1 2 -1 -2,certified,,false,,ms-train-0085,38
143,3,y^{-1}xyx^{-1}y^{-1},-2 1 2 -1 -2,uncertified,,false,,,
144,4,y^{-1}xyx^{-1}y^{-1},-2 1 2 -1 -2,uncertified,,false,,,
145,5,y^{-1}xyx^{-1}y^{-1},-2 1 2 -1 -2,uncertified,,false,,,
146,6,y^{-1}xyx^{-1}y^{-1},-2 1 2 -1 -2,uncertified,,false,,,
147,7,y^{-1}xyx^{-1}y^{-1},-2 1 2 -1 -2,uncertified,,false,,,
148,1,y^{2}xyx^{-1},2 2 1 2 -1,certified,,false,,ms-train-0086,27
149,2,y^{2}xyx^{-1},2 2 1 2 -1,certified,,false,,ms-train-0087,19
150,3,y^{2}xyx^{-1},2 2 1 2 -1,uncertified,,false,,,
151,4,y^{2}xyx^{-1},2 2 1 2 -1,uncertified,,false,,,
152,5,y^{2}xyx^{-1},2 2 1 2 -1,open,17_{30},true,ms-v1-0036,,
153,6,y^{2}xyx^{-1},2 2 1 2 -1,open,16_6,true,ms-v1-0037,,
154,7,y^{2}xyx^{-1},2 2 1 2 -1,open,23_{22},true,ms-v1-0038,,
155,1,y^{2}xy^{-1}x^{-1},2 2 1 -2 -1,certified,,false,,ms-train-0088,22
156,2,y^{2}xy^{-1}x^{-1},2 2 1 -2 -1,certified,,false,,ms-train-0089,13
157,3,y^{2}xy^{-1}x^{-1},2 2 1 -2 -1,open,13_1,true,ms-v1-0039,,
158,4,y^{2}xy^{-1}x^{-1},2 2 1 -2 -1,uncertified,,false,,,
159,5,y^{2}xy^{-1}x^{-1},2 2 1 -2 -1,open,17_{31},true,ms-v1-0040,,
160,6,y^{2}xy^{-1}x^{-1},2 2 1 -2 -1,open,16_7,true,ms-v1-0041,,
161,7,y^{2}xy^{-1}x^{-1},2 2 1 -2 -1,open,21_{35},true,ms-v1-0042,,
162,1,x^{-1}y^{-2}xy^{-1},-1 -2 -2 1 -2,certified,,false,,ms-train-0090,28
163,2,x^{-1}y^{-2}xy^{-1},-1 -2 -2 1 -2,certified,,false,,ms-train-0091,27
164,3,x^{-1}y^{-2}xy^{-1},-1 -2 -2 1 -2,uncertified,,false,,,
165,4,x^{-1}y^{-2}xy^{-1},-1 -2 -2 1 -2,uncertified,,false,,,
166,5,x^{-1}y^{-2}xy^{-1},-1 -2 -2 1 -2,open,17_{33},true,ms-v1-0043,,
167,6,x^{-1}y^{-2}xy^{-1},-1 -2 -2 1 -2,open,16_9,true,ms-v1-0044,,
168,7,x^{-1}y^{-2}xy^{-1},-1 -2 -2 1 -2,open,23_{23},true,ms-v1-0045,,
169,1,yxy^{2}x^{-1},2 1 2 2 -1,certified,,false,,ms-train-0092,14
170,2,yxy^{2}x^{-1},2 1 2 2 -1,certified,,false,,ms-train-0093,47
171,3,yxy^{2}x^{-1},2 1 2 2 -1,uncertified,,false,,,
172,4,yxy^{2}x^{-1},2 1 2 2 -1,open,15_{10},true,ms-v1-0046,,
173,5,yxy^{2}x^{-1},2 1 2 2 -1,open,14_1,true,ms-v1-0047,,
174,6,yxy^{2}x^{-1},2 1 2 2 -1,open,17_{34},true,ms-v1-0048,,
175,7,yxy^{2}x^{-1},2 1 2 2 -1,open,21_{34},true,ms-v1-0049,,
176,1,yxy^{-1}x^{-1}y^{-1},2 1 -2 -1 -2,certified,,false,,ms-train-0094,8
177,2,yxy^{-1}x^{-1}y^{-1},2 1 -2 -1 -2,certified,,false,,ms-train-0095,37
178,3,yxy^{-1}x^{-1}y^{-1},2 1 -2 -1 -2,uncertified,,false,,,
179,4,yxy^{-1}x^{-1}y^{-1},2 1 -2 -1 -2,uncertified,,false,,,
180,5,yxy^{-1}x^{-1}y^{-1},2 1 -2 -1 -2,uncertified,,false,,,
181,6,yxy^{-1}x^{-1}y^{-1},2 1 -2 -1 -2,uncertified,,false,,,
182,7,yxy^{-1}x^{-1}y^{-1},2 1 -2 -1 -2,uncertified,,false,,,
183,1,y^{5},2 2 2 2 2,certified,,false,,ms-train-0096,21
184,2,y^{5},2 2 2 2 2,certified,,false,,ms-train-0097,19
185,3,y^{5},2 2 2 2 2,certified,,false,,ms-train-0098,30
186,4,y^{5},2 2 2 2 2,certified,,false,,ms-train-0099,11
187,5,y^{5},2 2 2 2 2,certified,,false,,ms-train-0100,39
188,6,y^{5},2 2 2 2 2,certified,,false,,ms-train-0101,36
189,7,y^{5},2 2 2 2 2,certified,,false,,ms-train-0102,25
190,1,y^{-5},-2 -2 -2 -2 -2,certified,,false,,ms-train-0103,19
191,2,y^{-5},-2 -2 -2 -2 -2,certified,,false,,ms-train-0104,16
192,3,y^{-5},-2 -2 -2 -2 -2,certified,,false,,ms-train-0105,16
193,4,y^{-5},-2 -2 -2 -2 -2,certified,,false,,ms-train-0106,11
194,5,y^{-5},-2 -2 -2 -2 -2,certified,,false,,ms-train-0107,12
195,6,y^{-5},-2 -2 -2 -2 -2,certified,,false,,ms-train-0108,13
196,7,y^{-5},-2 -2 -2 -2 -2,certified,,false,,ms-train-0109,22
197,1,yx^{-1}y^{-1}xy^{-1},2 -1 -2 1 -2,certified,,false,,ms-train-0110,14
198,2,yx^{-1}y^{-1}xy^{-1},2 -1 -2 1 -2,certified,,false,,ms-train-0111,44
199,3,yx^{-1}y^{-1}xy^{-1},2 -1 -2 1 -2,open,13_1,true,ms-v1-0050,,
200,4,yx^{-1}y^{-1}xy^{-1},2 -1 -2 1 -2,open,15_1,true,ms-v1-0051,,
201,5,yx^{-1}y^{-1}xy^{-1},2 -1 -2 1 -2,open,16_1,true,ms-v1-0052,,
202,6,yx^{-1}y^{-1}xy^{-1},2 -1 -2 1 -2,open,17_{35},true,ms-v1-0053,,
203,7,yx^{-1}y^{-1}xy^{-1},2 -1 -2 1 -2,open,21_{36},true,ms-v1-0054,,
204,1,x^{-1}y^{-2}xy,-1 -2 -2 1 2,certified,,false,,ms-train-0112,16
205,2,x^{-1}y^{-2}xy,-1 -2 -2 1 2,certified,,false,,ms-train-0113,13
206,3,x^{-1}y^{-2}xy,-1 -2 -2 1 2,open,13_1,true,ms-v1-0055,,
207,4,x^{-1}y^{-2}xy,-1 -2 -2 1 2,uncertified,,false,,,
208,5,x^{-1}y^{-2}xy,-1 -2 -2 1 2,open,17_{32},true,ms-v1-0056,,
209,6,x^{-1}y^{-2}xy,-1 -2 -2 1 2,open,16_8,true,ms-v1-0057,,
210,7,x^{-1}y^{-2}xy,-1 -2 -2 1 2,open,21_{38},true,ms-v1-0058,,
211,1,yx^{-1}y^{-1}xy^{2},2 -1 -2 1 2 2,certified,,false,,ms-train-0114,11
212,2,yx^{-1}y^{-1}xy^{2},2 -1 -2 1 2 2,certified,,false,,ms-train-0115,56
213,3,yx^{-1}y^{-1}xy^{2},2 -1 -2 1 2 2,certified,,false,,ms-train-0116,87
214,4,yx^{-1}y^{-1}xy^{2},2 -1 -2 1 2 2,open,14_1,true,ms-v1-0059,,
215,5,yx^{-1}y^{-1}xy^{2},2 -1 -2 1 2 2,uncertified,,false,,,
216,6,yx^{-1}y^{-1}xy^{2},2 -1 -2 1 2 2,open,19_{34},true,ms-v1-0060,,
217,7,yx^{-1}y^{-1}xy^{2},2 -1 -2 1 2 2,open,17_{42},true,ms-v1-0061,,
218,1,yxy^{-2}x^{-1}y,2 1 -2 -2 -1 2,certified,,false,,ms-train-0117,8
219,2,yxy^{-2}x^{-1}y,2 1 -2 -2 -1 2,certified,,false,,ms-train-0118,38
220,3,yxy^{-2}x^{-1}y,2 1 -2 -2 -1 2,certified,,false,,ms-train-0119,42
221,4,yxy^{-2}x^{-1}y,2 1 -2 -2 -1 2,open,14_1,true,ms-v1-0062,,
222,5,yxy^{-2}x^{-1}y,2 1 -2 -2 -1 2,uncertified,,false,,,
223,6,yxy^{-2}x^{-1}y,2 1 -2 -2 -1 2,open,19_{33},true,ms-v1-0063,,
224,7,yxy^{-2}x^{-1}y,2 1 -2 -2 -1 2,open,19_{37},true,ms-v1-0064,,
225,1,y^{-1}xy^{-2}x^{-1}y^{-1},-2 1 -2 -2 -1 -2,certified,,false,,ms-train-0120,21
226,2,y^{-1}xy^{-2}x^{-1}y^{-1},-2 1 -2 -2 -1 -2,certified,,false,,ms-train-0121,86
227,3,y^{-1}xy^{-2}x^{-1}y^{-1},-2 1 -2 -2 -1 -2,uncertified,,false,,,
228,4,y^{-1}xy^{-2}x^{-1}y^{-1},-2 1 -2 -2 -1 -2,open,15_{11},true,ms-v1-0065,,
229,5,y^{-1}xy^{-2}x^{-1}y^{-1},-2 1 -2 -2 -1 -2,open,14_1,true,ms-v1-0066,,
230,6,y^{-1}xy^{-2}x^{-1}y^{-1},-2 1 -2 -2 -1 -2,open,17_{36},true,ms-v1-0067,,
231,7,y^{-1}xy^{-2}x^{-1}y^{-1},-2 1 -2 -2 -1 -2,open,21_{37},true,ms-v1-0068,,
232,1,y^{-1}xy^{-1}x^{-1}y^{-2},-2 1 -2 -1 -2 -2,certified,,false,,ms-train-0122,26
233,2,y^{-1}xy^{-1}x^{-1}y^{-2},-2 1 -2 -1 -2 -2,uncertified,,false,,,
234,3,y^{-1}xy^{-1}x^{-1}y^{-2},-2 1 -2 -1 -2 -2,open,13_1,true,ms-v1-0069,,
235,4,y^{-1}xy^{-1}x^{-1}y^{-2},-2 1 -2 -1 -2 -2,open,15_1,true,ms-v1-0070,,
236,5,y^{-1}xy^{-1}x^{-1}y^{-2},-2 1 -2 -1 -2 -2,open,16_1,true,ms-v1-0071,,
237,6,y^{-1}xy^{-1}x^{-1}y^{-2},-2 1 -2 -1 -2 -2,open,17_1,true,ms-v1-0072,,
238,7,y^{-1}xy^{-1}x^{-1}y^{-2},-2 1 -2 -1 -2 -2,open,18_7,true,ms-v1-0073,,
239,1,yx^{-1}y^{-1}xy^{-2},2 -1 -2 1 -2 -2,certified,,false,,ms-train-0123,15
240,2,yx^{-1}y^{-1}xy^{-2},2 -1 -2 1 -2 -2,certified,,false,,ms-train-0124,95
241,3,yx^{-1}y^{-1}xy^{-2},2 -1 -2 1 -2 -2,certified,,false,,ms-train-0125,79
242,4,yx^{-1}y^{-1}xy^{-2},2 -1 -2 1 -2 -2,open,15_{11},true,ms-v1-0074,,
243,5,yx^{-1}y^{-1}xy^{-2},2 -1 -2 1 -2 -2,open,14_1,true,ms-v1-0075,,
244,6,yx^{-1}y^{-1}xy^{-2},2 -1 -2 1 -2 -2,open,17_{36},true,ms-v1-0076,,
245,7,yx^{-1}y^{-1}xy^{-2},2 -1 -2 1 -2 -2,open,15_{13},true,ms-v1-0077,,
246,1,y^{2}xy^{-2}x^{-1},2 2 1 -2 -2 -1,certified,,false,,ms-train-0126,14
247,2,y^{2}xy^{-2}x^{-1},2 2 1 -2 -2 -1,certified,,false,,ms-train-0127,9
248,3,y^{2}xy^{-2}x^{-1},2 2 1 -2 -2 -1,certified,,false,,ms-train-0128,38
249,4,y^{2}xy^{-2}x^{-1},2 2 1 -2 -2 -1,certified,,false,,ms-train-0129,46
250,5,y^{2}xy^{-2}x^{-1},2 2 1 -2 -2 -1,certified,,false,,ms-train-0130,80
251,6,y^{2}xy^{-2}x^{-1},2 2 1 -2 -2 -1,certified,,false,,ms-train-0131,105
252,7,y^{2}xy^{-2}x^{-1},2 2 1 -2 -2 -1,uncertified,,false,,,
253,1,y^{-1}xy^{2}x^{-1}y^{-1},-2 1 2 2 -1 -2,certified,,false,,ms-train-0132,11
254,2,y^{-1}xy^{2}x^{-1}y^{-1},-2 1 2 2 -1 -2,certified,,false,,ms-train-0133,54
255,3,y^{-1}xy^{2}x^{-1}y^{-1},-2 1 2 2 -1 -2,certified,,false,,ms-train-0134,38
256,4,y^{-1}xy^{2}x^{-1}y^{-1},-2 1 2 2 -1 -2,open,14_1,true,ms-v1-0078,,
257,5,y^{-1}xy^{2}x^{-1}y^{-1},-2 1 2 2 -1 -2,uncertified,,false,,,
258,6,y^{-1}xy^{2}x^{-1}y^{-1},-2 1 2 2 -1 -2,open,19_{34},true,ms-v1-0079,,
259,7,y^{-1}xy^{2}x^{-1}y^{-1},-2 1 2 2 -1 -2,open,20_{12},true,ms-v1-0080,,
260,1,y^{2}x^{-1}y^{-1}xy^{-1},2 2 -1 -2 1 -2,certified,,false,,ms-train-0135,8
261,2,y^{2}x^{-1}y^{-1}xy^{-1},2 2 -1 -2 1 -2,certified,,false,,ms-train-0136,41
262,3,y^{2}x^{-1}y^{-1}xy^{-1},2 2 -1 -2 1 -2,open,13_1,true,ms-v1-0081,,
263,4,y^{2}x^{-1}y^{-1}xy^{-1},2 2 -1 -2 1 -2,open,15_1,true,ms-v1-0082,,
264,5,y^{2}x^{-1}y^{-1}xy^{-1},2 2 -1 -2 1 -2,open,16_1,true,ms-v1-0083,,
265,6,y^{2}x^{-1}y^{-1}xy^{-1},2 2 -1 -2 1 -2,open,17_{35},true,ms-v1-0084,,
266,7,y^{2}x^{-1}y^{-1}xy^{-1},2 2 -1 -2 1 -2,open,18_6,true,ms-v1-0085,,
267,1,y^{2}xy^{-1}x^{-1}y,2 2 1 -2 -1 2,certified,,false,,ms-train-0137,29
268,2,y^{2}xy^{-1}x^{-1}y,2 2 1 -2 -1 2,certified,,false,,ms-train-0138,14
269,3,y^{2}xy^{-1}x^{-1}y,2 2 1 -2 -1 2,open,13_1,true,ms-v1-0086,,
270,4,y^{2}xy^{-1}x^{-1}y,2 2 1 -2 -1 2,uncertified,,false,,,
271,5,y^{2}xy^{-1}x^{-1}y,2 2 1 -2 -1 2,open,17_{31},true,ms-v1-0087,,
272,6,y^{2}xy^{-1}x^{-1}y,2 2 1 -2 -1 2,open,16_7,true,ms-v1-0088,,
273,7,y^{2}xy^{-1}x^{-1}y,2 2 1 -2 -1 2,open,21_{35},true,ms-v1-0089,,
274,1,y^{2}xy^{-1}x^{-1}y^{-1},2 2 1 -2 -1 -2,certified,,false,,ms-train-0139,16
275,2,y^{2}xy^{-1}x^{-1}y^{-1},2 2 1 -2 -1 -2,certified,,false,,ms-train-0140,10
276,3,y^{2}xy^{-1}x^{-1}y^{-1},2 2 1 -2 -1 -2,open,13_1,true,ms-v1-0090,,
277,4,y^{2}xy^{-1}x^{-1}y^{-1},2 2 1 -2 -1 -2,certified,,false,,ms-train-0141,79
278,5,y^{2}xy^{-1}x^{-1}y^{-1},2 2 1 -2 -1 -2,open,17_{31},true,ms-v1-0091,,
279,6,y^{2}xy^{-1}x^{-1}y^{-1},2 2 1 -2 -1 -2,open,16_7,true,ms-v1-0092,,
280,7,y^{2}xy^{-1}x^{-1}y^{-1},2 2 1 -2 -1 -2,open,21_{35},true,ms-v1-0093,,
281,1,y^{6},2 2 2 2 2 2,certified,,false,,ms-train-0142,20
282,2,y^{6},2 2 2 2 2 2,certified,,false,,ms-train-0143,34
283,3,y^{6},2 2 2 2 2 2,certified,,false,,ms-train-0144,41
284,4,y^{6},2 2 2 2 2 2,certified,,false,,ms-train-0145,29
285,5,y^{6},2 2 2 2 2 2,certified,,false,,ms-train-0146,12
286,6,y^{6},2 2 2 2 2 2,certified,,false,,ms-train-0147,52
287,7,y^{6},2 2 2 2 2 2,certified,,false,,ms-train-0148,43
288,1,yx^{-1}y^{-2}xy^{-1},2 -1 -2 -2 1 -2,certified,,false,,ms-train-0149,26
289,2,yx^{-1}y^{-2}xy^{-1},2 -1 -2 -2 1 -2,certified,,false,,ms-train-0150,23
290,3,yx^{-1}y^{-2}xy^{-1},2 -1 -2 -2 1 -2,uncertified,,false,,,
291,4,yx^{-1}y^{-2}xy^{-1},2 -1 -2 -2 1 -2,uncertified,,false,,,
292,5,yx^{-1}y^{-2}xy^{-1},2 -1 -2 -2 1 -2,open,17_{33},true,ms-v1-0094,,
293,6,yx^{-1}y^{-2}xy^{-1},2 -1 -2 -2 1 -2,open,16_9,true,ms-v1-0095,,
